median_income,house_age,mean_rooms,mean_bedrooms,population,mean_household_size,latitude,longitude,median_house_value
23.947,40.0,4.442190669371197,1.0060851926977687,1214.0,2.462474645030426,34.14,-117.28,81.89999999999999
19.767,23.0,5.7084019769357495,1.158154859967051,2672.0,4.401976935749588,33.78,-117.23,81.5
29.25,19.0,5.649321266968326,1.1176470588235294,748.0,1.6923076923076923,38.55,-121.4,142.4
57.519,27.0,7.331775700934579,1.1308411214953271,583.0,2.7242990654205608,37.66,-121.87,278.5
36.711999999999996,30.0,3.6599825632083696,1.084568439407149,2678.0,2.334786399302528,37.46,-122.15,308.59999999999997
26.364,22.0,3.5874125874125875,0.993006993006993,1254.0,2.1923076923076925,34.18,-118.43,271.09999999999997
75.99199999999999,15.0,7.634854771784233,0.975103734439834,855.0,3.5477178423236513,32.91,-117.11,310.59999999999997
52.939,35.0,6.08314606741573,1.002247191011236,1224.0,2.750561797752809,34.24,-118.49,244.20000000000002
46.336000000000006,2.0,4.96078431372549,1.1019607843137256,1066.0,2.0901960784313727,33.58,-117.71,187.5
91.07799999999999,45.0,6.555555555555555,1.0114942528735633,735.0,2.8160919540229883,34.04,-118.53,500.001
55.0,16.0,6.691460055096419,1.0661157024793388,1293.0,3.56198347107438,37.27,-121.84,253.2
27.5,41.0,5.666666666666667,1.0726072607260726,855.0,2.8217821782178216,37.75,-121.43,127.3
17.238,33.0,1.9268774703557312,1.034584980237154,3707.0,3.6630434782608696,34.06,-118.26,110.00000000000001
62.503,2.0,8.408163265306122,1.1884353741496598,4438.0,3.019047619047619,38.66,-121.13,222.5
21.31,38.0,3.208823529411765,1.026470588235294,1786.0,5.252941176470588,34.02,-118.26,136.5
42.565999999999995,16.0,4.924731182795699,1.0595533498759304,3107.0,2.5698924731182795,33.87,-117.8,206.1
22.137999999999998,49.0,5.058375634517766,1.131979695431472,1052.0,2.6700507614213196,33.98,-118.32,119.8
31.583000000000002,49.0,4.855585831062671,1.0190735694822888,1010.0,2.7520435967302452,34.08,-118.12,268.2
21.719,44.0,4.283489096573208,1.0934579439252337,766.0,2.3862928348909658,38.57,-121.5,87.5
109.237,44.0,7.837962962962963,1.1064814814814814,498.0,2.3055555555555554,34.14,-118.43,500.001
31.6,23.0,3.8088235294117645,1.0661764705882353,1795.0,2.639705882352941,37.34,-122.04,225.0
19.091,29.0,5.353982300884955,1.1091445427728615,1421.0,4.191740412979351,36.06,-119.19,71.3
51.315,17.0,5.460176991150442,1.0147492625368733,764.0,2.253687315634218,33.89,-117.97,181.8
43.227000000000004,16.0,5.711703958691911,1.0077452667814113,3575.0,3.076592082616179,37.01,-121.59,251.5
37.796,21.0,5.256997455470738,1.037319762510602,2827.0,2.3977947413061917,38.67,-121.16,159.0
32.917,19.0,6.182656826568266,1.0867158671586716,1578.0,2.911439114391144,36.69,-119.47,160.1
40.313,39.0,5.266666666666667,1.0484848484848486,406.0,2.4606060606060605,36.62,-121.93,253.79999999999998
22.5,15.0,6.11214953271028,1.2554517133956387,730.0,2.2741433021806854,35.68,-118.06,67.5
30.724,45.0,3.0350877192982457,0.7368421052631579,230.0,4.035087719298246,33.98,-118.24,110.7
52.903000000000006,20.0,6.550161812297735,1.0129449838187703,879.0,2.8446601941747574,38.89,-121.15,239.4
16.5,47.0,4.90187891440501,1.058455114822547,1455.0,3.037578288100209,37.97,-121.28,66.0
32.625,18.0,6.151943462897527,2.127208480565371,508.0,1.795053003533569,32.79,-117.24,193.79999999999998
16.078,28.0,4.2514792899408285,1.183431952662722,806.0,2.3846153846153846,37.66,-121.02,125.0
17.546,52.0,4.733333333333333,1.0466666666666666,1085.0,3.6166666666666667,37.76,-122.21,80.60000000000001
59.544,44.0,6.127982646420825,0.982646420824295,1221.0,2.648590021691974,33.97,-118.4,377.2
30.114,31.0,4.117021276595745,0.9468085106382979,1175.0,4.166666666666667,33.97,-118.14,177.0
30.06,52.0,4.701970443349754,1.0246305418719213,811.0,1.9975369458128078,37.88,-122.28,227.89999999999998
60.876000000000005,40.0,5.504201680672269,0.9915966386554622,666.0,1.865546218487395,34.14,-118.38,483.8
